latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,latlongtuple
18.664,-99.101,324.1,1.1,1.0,2020-03-21,1710,T,74,6.0NRT,305.5,11.1,D,"(18.664, -99.101)"
18.048,-95.156,320.8,1.2,1.1,2020-03-21,1710,T,53,6.0NRT,303.1,9.0,D,"(18.048, -95.156)"
18.979,-102.24600000000001,328.1,1.6,1.2,2020-03-21,1710,T,76,6.0NRT,301.8,25.2,D,"(18.979, -102.24600000000001)"
18.977999999999998,-102.23100000000001,321.2,1.6,1.2,2020-03-21,1710,T,58,6.0NRT,301.6,10.7,D,"(18.977999999999998, -102.23100000000001)"
18.555999999999997,-99.124,330.9,1.1,1.0,2020-03-21,1710,T,82,6.0NRT,303.0,21.3,D,"(18.555999999999997, -99.124)"
18.813,-102.385,324.7,1.6,1.2,2020-03-21,1710,T,64,6.0NRT,301.9,21.1,D,"(18.813, -102.385)"
18.812,-102.37,327.1,1.6,1.2,2020-03-21,1710,T,73,6.0NRT,302.8,24.9,D,"(18.812, -102.37)"
17.503,-95.48299999999999,309.0,1.2,1.1,2020-03-21,1710,T,23,6.0NRT,292.5,4.5,D,"(17.503, -95.48299999999999)"
17.72,-98.352,321.3,1.0,1.0,2020-03-21,1710,T,36,6.0NRT,305.4,6.3,D,"(17.72, -98.352)"
17.814,-99.26899999999999,335.4,1.1,1.0,2020-03-21,1710,T,84,6.0NRT,308.3,26.1,D,"(17.814, -99.26899999999999)"
41.448,-93.447,300.3,1.1,1.0,2020-03-21,1705,T,34,6.0NRT,281.7,4.5,D,"(41.448, -93.447)"
40.707,-95.115,303.2,1.2,1.1,2020-03-21,1705,T,55,6.0NRT,282.5,7.3,D,"(40.707, -95.115)"
40.614000000000004,-94.616,317.7,1.1,1.1,2020-03-21,1705,T,78,6.0NRT,283.5,20.5,D,"(40.614000000000004, -94.616)"
40.613,-94.603,301.1,1.1,1.1,2020-03-21,1705,T,45,6.0NRT,282.2,6.7,D,"(40.613, -94.603)"
40.306999999999995,-95.61200000000001,300.3,1.2,1.1,2020-03-21,1705,T,16,6.0NRT,285.8,5.4,D,"(40.306999999999995, -95.61200000000001)"
40.306999999999995,-95.618,300.4,1.2,1.1,2020-03-21,1705,T,27,6.0NRT,285.0,5.5,D,"(40.306999999999995, -95.618)"
40.095,-94.21600000000001,303.0,1.1,1.0,2020-03-21,1705,T,54,6.0NRT,283.9,7.0,D,"(40.095, -94.21600000000001)"
39.996,-93.53200000000001,300.5,1.0,1.0,2020-03-21,1705,T,38,6.0NRT,285.0,5.1,D,"(39.996, -93.53200000000001)"
39.885,-94.006,301.3,1.1,1.0,2020-03-21,1705,T,46,6.0NRT,284.4,5.4,D,"(39.885, -94.006)"
40.08,-95.76100000000001,301.0,1.2,1.1,2020-03-21,1705,T,44,6.0NRT,285.0,5.4,D,"(40.08, -95.76100000000001)"
40.147,-97.12799999999999,306.5,1.4,1.2,2020-03-21,1705,T,64,6.0NRT,283.1,13.3,D,"(40.147, -97.12799999999999)"
39.53,-93.557,300.0,1.0,1.0,2020-03-21,1705,T,22,6.0NRT,284.5,4.5,D,"(39.53, -93.557)"
39.492,-93.816,307.0,1.0,1.0,2020-03-21,1705,T,65,6.0NRT,284.2,8.7,D,"(39.492, -93.816)"
39.483000000000004,-93.818,300.3,1.0,1.0,2020-03-21,1705,T,34,6.0NRT,285.1,4.2,D,"(39.483000000000004, -93.818)"
39.435,-94.45,303.7,1.1,1.0,2020-03-21,1705,T,54,6.0NRT,284.5,6.6,D,"(39.435, -94.45)"
39.428000000000004,-94.444,306.9,1.1,1.0,2020-03-21,1705,T,61,6.0NRT,284.5,9.5,D,"(39.428000000000004, -94.444)"
39.236999999999995,-95.676,312.1,1.2,1.1,2020-03-21,1705,T,72,6.0NRT,284.2,15.5,D,"(39.236999999999995, -95.676)"
39.146,-95.685,301.3,1.2,1.1,2020-03-21,1705,T,46,6.0NRT,284.7,6.1,D,"(39.146, -95.685)"
39.291,-97.557,318.8,1.5,1.2,2020-03-21,1705,T,79,6.0NRT,285.9,29.0,D,"(39.291, -97.557)"
38.988,-95.124,300.7,1.1,1.1,2020-03-21,1705,T,38,6.0NRT,286.4,5.2,D,"(38.988, -95.124)"
38.982,-95.59,300.8,1.2,1.1,2020-03-21,1705,T,42,6.0NRT,286.7,5.1,D,"(38.982, -95.59)"
38.98,-95.57700000000001,304.0,1.2,1.1,2020-03-21,1705,T,58,6.0NRT,285.7,7.2,D,"(38.98, -95.57700000000001)"
39.089,-96.617,338.1,1.3,1.1,2020-03-21,1705,T,78,6.0NRT,289.7,54.7,D,"(39.089, -96.617)"
